datetime,city,temp,text
2021-05-15 14:23:48,Singapore,29,Thunderstorms
2021-05-15 14:20:09,Sydney,16,Breezy
2021-05-15 14:10:31,Singapore,29,Thunderstorms
2021-05-15 11:23:48,Singapore,28,Scattered Thunderstorms
2021-05-15 11:20:10,Sydney,17,Mostly Cloudy
2021-05-15 08:23:48,Singapore,27,Thunderstorms
2021-05-15 08:20:10,Sydney,16,Sunny
2021-05-15 08:10:31,Singapore,27,Thunderstorms
2021-05-15 05:23:48,Singapore,27,Thunderstorms
2021-05-15 05:20:10,Sydney,12,Partly Cloudy
2021-05-15 02:23:48,Singapore,27,Thunderstorms
2021-05-15 02:20:10,Sydney,12,Clear
2021-05-15 02:10:31,Singapore,27,Thunderstorms
2021-05-14 23:23:48,Singapore,28,Thunderstorms
2021-05-14 23:20:10,Sydney,12,Clear
2021-05-14 20:23:48,Singapore,28,Cloudy
2021-05-14 20:20:09,Sydney,14,Clear
2021-05-14 20:10:32,Singapore,28,Thunderstorms
2021-05-14 17:23:48,Singapore,28,Scattered Thunderstorms
2021-05-14 17:20:10,Sydney,15,Breezy
2021-05-14 14:23:48,Singapore,28,Scattered Thunderstorms
2021-05-14 14:20:10,Sydney,20,Sunny
2021-05-14 14:10:32,Singapore,28,Thunderstorms
2021-05-14 11:23:48,Singapore,28,Scattered Thunderstorms
2021-05-14 11:20:10,Sydney,18,Breezy
2021-05-14 08:23:48,Singapore,27,Thunderstorms
2021-05-14 08:20:09,Sydney,17,Breezy
2021-05-14 08:10:32,Singapore,27,Thunderstorms
2021-05-14 05:23:48,Singapore,27,Thunderstorms
2021-05-14 05:20:10,Sydney,15,Clear
2021-05-14 02:23:48,Singapore,28,Cloudy
2021-05-14 02:20:10,Sydney,15,Clear
2021-05-14 02:10:30,Singapore,27,Cloudy
2021-05-13 23:23:48,Singapore,28,Thunderstorms
2021-05-13 23:20:09,Sydney,17,Clear
2021-05-13 20:23:48,Singapore,28,Thunderstorms
2021-05-13 20:20:10,Sydney,18,Clear
2021-05-13 20:10:31,Singapore,28,Thunderstorms
2021-05-13 17:23:48,Singapore,28,Thunderstorms
2021-05-13 17:20:10,Sydney,19,Partly Cloudy
2021-05-13 14:23:48,Singapore,28,Thunderstorms
2021-05-13 14:20:10,Sydney,22,Sunny
2021-05-13 14:10:32,Singapore,29,Thunderstorms
2021-05-13 11:23:48,Singapore,28,Cloudy
2021-05-13 11:20:10,Sydney,22,Sunny
2021-05-13 08:23:48,Singapore,27,Thunderstorms
2021-05-13 08:20:10,Sydney,17,Mostly Sunny
2021-05-13 08:10:32,Singapore,27,Thunderstorms
2021-05-13 05:23:48,Singapore,27,Thunderstorms
2021-05-13 05:20:09,Sydney,14,Partly Cloudy
2021-05-13 02:23:48,Singapore,28,Thunderstorms
2021-05-13 02:20:10,Sydney,15,Partly Cloudy
2021-05-13 02:10:30,Singapore,27,Cloudy
2021-05-12 23:23:48,Singapore,28,Cloudy
2021-05-12 23:20:10,Sydney,18,Showers
2021-05-12 20:23:48,Singapore,28,Mostly Cloudy
2021-05-12 20:20:10,Sydney,17,Partly Cloudy
2021-05-12 20:10:31,Singapore,28,Mostly Cloudy
2021-05-12 17:23:48,Singapore,29,Cloudy
2021-05-12 17:20:10,Sydney,18,Partly Cloudy
2021-05-12 14:23:48,Singapore,28,Cloudy
2021-05-12 14:20:10,Sydney,19,Partly Cloudy
2021-05-12 14:10:31,Singapore,28,Thunderstorms
2021-05-12 11:23:48,Singapore,27,Showers
2021-05-12 11:20:09,Sydney,19,Mostly Cloudy
2021-05-12 08:23:48,Singapore,27,Scattered Thunderstorms
2021-05-12 08:20:09,Sydney,18,Mostly Cloudy
2021-05-12 08:10:32,Singapore,26,Showers
2021-05-12 05:23:48,Singapore,27,Cloudy
2021-05-12 05:20:09,Sydney,14,Mostly Cloudy
2021-05-12 02:23:48,Singapore,27,Thunderstorms
2021-05-12 02:20:10,Sydney,14,Partly Cloudy
2021-05-12 02:10:31,Singapore,27,Thunderstorms
2021-05-11 23:23:48,Singapore,28,Cloudy
2021-05-11 23:20:10,Sydney,16,Partly Cloudy
2021-05-11 20:23:48,Singapore,28,Thunderstorms
2021-05-11 20:20:09,Sydney,17,Partly Cloudy
2021-05-11 20:10:32,Singapore,28,Thunderstorms
2021-05-11 17:23:48,Singapore,29,Thunderstorms
2021-05-11 17:20:09,Sydney,18,Partly Cloudy
2021-05-11 14:23:48,Singapore,29,Thunderstorms
2021-05-11 14:20:10,Sydney,18,Partly Cloudy
2021-05-11 14:10:31,Singapore,29,Thunderstorms
2021-05-11 11:23:48,Singapore,28,Thunderstorms
2021-05-11 11:20:09,Sydney,23,Mostly Cloudy
2021-05-11 08:23:48,Singapore,27,Thunderstorms
2021-05-11 08:20:09,Sydney,20,Partly Cloudy
2021-05-11 08:10:31,Singapore,27,Thunderstorms
2021-05-11 05:23:48,Singapore,27,Thunderstorms
2021-05-11 05:20:09,Sydney,16,Partly Cloudy
2021-05-11 02:23:48,Singapore,28,Thunderstorms
2021-05-11 02:20:09,Sydney,17,Cloudy
2021-05-11 02:10:32,Singapore,28,Thunderstorms
2021-05-10 23:23:48,Singapore,28,Thunderstorms
2021-05-10 23:20:09,Sydney,17,Mostly Cloudy
2021-05-10 20:23:48,Singapore,29,Mostly Sunny
2021-05-10 20:20:09,Sydney,19,Partly Cloudy
2021-05-10 20:10:30,Singapore,29,Thunderstorms
2021-05-10 17:23:48,Singapore,30,Thunderstorms
2021-05-10 17:20:09,Sydney,21,Clear
2021-05-10 14:23:48,Singapore,30,Mostly Sunny
2021-05-10 14:20:10,Sydney,25,Mostly Sunny
2021-05-10 14:10:31,Singapore,30,Thunderstorms
2021-05-10 11:23:48,Singapore,29,Mostly Sunny
2021-05-10 11:20:09,Sydney,24,Sunny
2021-05-10 08:23:48,Singapore,27,Partly Cloudy
2021-05-10 08:20:09,Sydney,18,Sunny
2021-05-10 08:10:30,Singapore,27,Partly Cloudy
2021-05-10 05:23:48,Singapore,27,Partly Cloudy
2021-05-10 05:20:09,Sydney,14,Clear
2021-05-10 02:23:48,Singapore,28,Thunderstorms
2021-05-10 02:20:09,Sydney,14,Mostly Clear
2021-05-10 02:10:32,Singapore,27,Partly Cloudy
2021-05-09 23:23:48,Singapore,28,Thunderstorms
2021-05-09 23:20:09,Sydney,16,Mostly Clear
2021-05-09 20:23:48,Singapore,28,Thunderstorms
2021-05-09 20:20:10,Sydney,18,Partly Cloudy
2021-05-09 20:10:31,Singapore,28,Thunderstorms
2021-05-09 17:23:48,Singapore,29,Thunderstorms
2021-05-09 17:20:09,Sydney,19,Mostly Cloudy
2021-05-09 14:23:48,Singapore,28,Thunderstorms
2021-05-09 14:20:10,Sydney,19,Mostly Cloudy
2021-05-09 14:10:31,Singapore,29,Thunderstorms
2021-05-09 11:23:48,Singapore,28,Thunderstorms
2021-05-09 11:20:09,Sydney,21,Mostly Cloudy
2021-05-09 08:23:48,Singapore,27,Mostly Cloudy
2021-05-09 08:20:09,Sydney,19,Mostly Cloudy
2021-05-09 08:10:31,Singapore,26,Mostly Cloudy
2021-05-09 05:23:48,Singapore,26,Mostly Cloudy
2021-05-09 05:20:09,Sydney,18,Cloudy
2021-05-09 02:23:48,Singapore,27,Mostly Cloudy
2021-05-09 02:20:09,Sydney,17,Cloudy
2021-05-09 02:10:31,Singapore,27,Mostly Cloudy
2021-05-08 23:23:48,Singapore,27,Mostly Cloudy
2021-05-08 23:20:09,Sydney,17,Cloudy
2021-05-08 20:23:48,Singapore,28,Thunderstorms
2021-05-08 20:20:09,Sydney,20,Cloudy
2021-05-08 20:10:31,Singapore,28,Cloudy
2021-05-08 17:23:48,Singapore,28,Thunderstorms
2021-05-08 17:20:09,Sydney,22,Mostly Cloudy
2021-05-08 14:23:48,Singapore,28,Thunderstorms
2021-05-08 14:20:09,Sydney,24,Mostly Cloudy
2021-05-08 14:10:30,Singapore,28,Thunderstorms
2021-05-08 11:23:48,Singapore,28,Thunderstorms
2021-05-08 11:20:09,Sydney,24,Mostly Cloudy
2021-05-08 08:23:48,Singapore,27,Thunderstorms
2021-05-08 08:20:09,Sydney,18,Mostly Sunny
2021-05-08 08:10:31,Singapore,27,Partly Cloudy
2021-05-08 05:23:48,Singapore,27,Thunderstorms
2021-05-08 05:20:09,Sydney,16,Partly Cloudy
2021-05-08 02:23:48,Singapore,27,Mostly Cloudy
2021-05-08 02:20:09,Sydney,16,Clear
2021-05-08 02:10:31,Singapore,27,Mostly Cloudy
2021-05-07 23:23:48,Singapore,28,Thunderstorms
2021-05-07 23:20:09,Sydney,18,Mostly Clear
2021-05-07 20:23:48,Singapore,28,Thunderstorms
2021-05-07 20:20:09,Sydney,19,Mostly Cloudy
2021-05-07 20:10:30,Singapore,28,Thunderstorms
2021-05-07 17:23:48,Singapore,29,Thunderstorms
2021-05-07 17:20:09,Sydney,19,Partly Cloudy
2021-05-07 14:23:48,Singapore,29,Mostly Cloudy
2021-05-07 14:20:09,Sydney,21,Partly Cloudy
2021-05-07 14:10:31,Singapore,29,Mostly Cloudy
2021-05-07 11:23:48,Singapore,28,Cloudy
2021-05-07 11:20:09,Sydney,21,Showers
2021-05-07 08:23:48,Singapore,27,Cloudy
2021-05-07 08:20:10,Sydney,20,Showers
2021-05-07 08:10:32,Singapore,26,Cloudy
2021-05-07 05:23:48,Singapore,26,Mostly Cloudy
2021-05-07 05:20:09,Sydney,19,Showers
2021-05-07 02:23:48,Singapore,27,Thunderstorms
2021-05-07 02:20:09,Sydney,19,Showers
2021-05-07 02:10:31,Singapore,27,Mostly Cloudy
2021-05-06 23:23:48,Singapore,27,Thunderstorms
2021-05-06 23:20:10,Sydney,19,Showers
2021-05-06 20:23:48,Singapore,28,Cloudy
2021-05-06 20:20:09,Sydney,20,Showers
2021-05-06 20:10:30,Singapore,28,Cloudy
2021-05-06 17:23:48,Singapore,28,Mostly Cloudy
2021-05-06 17:20:09,Sydney,20,Showers
2021-05-06 14:23:48,Singapore,28,Scattered Thunderstorms
2021-05-06 14:20:09,Sydney,20,Showers
2021-05-06 14:10:31,Singapore,28,Thunderstorms
2021-05-06 11:23:48,Singapore,28,Scattered Thunderstorms
2021-05-06 11:20:10,Sydney,20,Showers
2021-05-06 08:23:48,Singapore,26,Scattered Thunderstorms
2021-05-06 08:20:09,Sydney,19,Rain
2021-05-06 08:10:32,Singapore,26,Thunderstorms
2021-05-06 05:23:48,Singapore,26,Scattered Thunderstorms
2021-05-06 05:20:09,Sydney,19,Rain
2021-05-06 02:23:48,Singapore,27,Thunderstorms
2021-05-06 02:20:09,Sydney,19,Showers
2021-05-06 02:10:31,Singapore,27,Thunderstorms
2021-05-05 23:23:48,Singapore,27,Cloudy
2021-05-05 23:20:09,Sydney,18,Cloudy
2021-05-05 20:23:48,Singapore,28,Thunderstorms
2021-05-05 20:20:09,Sydney,18,Showers
2021-05-05 20:10:31,Singapore,27,Scattered Thunderstorms
2021-05-05 17:23:48,Singapore,28,Thunderstorms
2021-05-05 17:20:09,Sydney,19,Mostly Cloudy
2021-05-05 14:23:48,Singapore,28,Thunderstorms
2021-05-05 14:20:10,Sydney,18,Showers
2021-05-05 14:10:32,Singapore,29,Thunderstorms
2021-05-05 11:23:48,Singapore,28,Thunderstorms
2021-05-05 11:20:09,Sydney,17,Rain
2021-05-05 08:23:48,Singapore,26,Thunderstorms
2021-05-05 08:20:09,Sydney,16,Rain
2021-05-05 08:10:31,Singapore,26,Thunderstorms
2021-05-05 05:23:48,Singapore,26,Thunderstorms
2021-05-05 05:20:09,Sydney,14,Rain
2021-05-05 02:23:48,Singapore,27,Cloudy
2021-05-05 02:20:09,Sydney,13,Showers
2021-05-05 02:10:32,Singapore,27,Cloudy
2021-05-04 23:23:48,Singapore,27,Thunderstorms
2021-05-04 23:20:09,Sydney,14,Showers
2021-05-04 20:23:48,Singapore,28,Thunderstorms
2021-05-04 20:20:09,Sydney,14,Rain
2021-05-04 20:10:32,Singapore,28,Thunderstorms
2021-05-04 17:23:48,Singapore,28,Thunderstorms
2021-05-04 17:20:09,Sydney,16,Showers
2021-05-04 14:23:48,Singapore,29,Thunderstorms
2021-05-04 14:20:09,Sydney,15,Showers
2021-05-04 14:10:31,Singapore,29,Thunderstorms
2021-05-04 11:23:48,Singapore,28,Thunderstorms
2021-05-04 11:20:09,Sydney,16,Cloudy
2021-05-04 08:23:48,Singapore,26,Thunderstorms
2021-05-04 08:20:09,Sydney,17,Cloudy
2021-05-04 08:10:30,Singapore,26,Cloudy
2021-05-04 05:23:48,Singapore,26,Scattered Thunderstorms
2021-05-04 05:20:09,Sydney,16,Cloudy
2021-05-04 02:23:48,Singapore,27,Thunderstorms
2021-05-04 02:20:09,Sydney,17,Mostly Cloudy
2021-05-04 02:10:31,Singapore,27,Thunderstorms
2021-05-03 23:23:48,Singapore,28,Cloudy
2021-05-03 23:20:09,Sydney,19,Partly Cloudy
2021-05-03 20:23:48,Singapore,28,Thunderstorms
2021-05-03 20:20:09,Sydney,20,Mostly Cloudy
2021-05-03 20:10:30,Singapore,28,Thunderstorms
2021-05-03 17:23:48,Singapore,29,Thunderstorms
2021-05-03 17:20:09,Sydney,21,Partly Cloudy
2021-05-03 14:23:48,Singapore,29,Thunderstorms
2021-05-03 14:20:09,Sydney,25,Sunny
2021-05-03 14:10:32,Singapore,29,Thunderstorms
2021-05-03 11:23:48,Singapore,28,Partly Cloudy
2021-05-03 11:20:09,Sydney,24,Sunny
2021-05-03 08:23:48,Singapore,27,Thunderstorms
2021-05-03 08:20:09,Sydney,17,Partly Cloudy
2021-05-03 08:10:31,Singapore,27,Mostly Cloudy
2021-05-03 05:23:48,Singapore,27,Thunderstorms
2021-05-03 05:20:09,Sydney,14,Partly Cloudy
2021-05-03 02:23:48,Singapore,27,Mostly Cloudy
2021-05-03 02:20:09,Sydney,16,Partly Cloudy
2021-05-03 02:10:31,Singapore,27,Mostly Cloudy
2021-05-02 23:23:48,Singapore,28,Thunderstorms
2021-05-02 23:20:10,Sydney,18,Mostly Clear
2021-05-02 20:23:48,Singapore,29,Thunderstorms
2021-05-02 20:20:09,Sydney,19,Scattered Thunderstorms
2021-05-02 20:10:31,Singapore,29,Thunderstorms
2021-05-02 17:23:48,Singapore,30,Scattered Thunderstorms
2021-05-02 17:20:09,Sydney,21,Mostly Cloudy
2021-05-02 14:23:48,Singapore,30,Partly Cloudy
2021-05-02 14:20:09,Sydney,23,Cloudy
2021-05-02 14:10:31,Singapore,30,Thunderstorms
2021-05-02 11:23:48,Singapore,28,Partly Cloudy
2021-05-02 11:20:09,Sydney,23,Cloudy
2021-05-02 08:23:48,Singapore,26,Mostly Sunny
2021-05-02 08:20:09,Sydney,21,Cloudy
2021-05-02 08:10:31,Singapore,26,Mostly Sunny
2021-05-02 05:23:48,Singapore,27,Thunderstorms
2021-05-02 05:20:09,Sydney,15,Cloudy
2021-05-02 02:23:48,Singapore,27,Mostly Cloudy
2021-05-02 02:20:09,Sydney,16,Cloudy
2021-05-02 02:10:31,Singapore,27,Mostly Cloudy
2021-05-01 23:23:48,Singapore,28,Thunderstorms
2021-05-01 23:20:10,Sydney,18,Mostly Clear
2021-05-01 20:10:31,Singapore,29,Thunderstorms
2021-05-01 14:10:31,Singapore,30,Thunderstorms
2021-05-01 08:10:31,Singapore,26,Cloudy
2021-05-01 02:10:30,Singapore,27,Cloudy
2021-04-30 20:10:30,Singapore,28,Thunderstorms
2021-04-30 14:10:30,Singapore,28,Thunderstorms
2021-04-30 08:10:30,Singapore,26,Thunderstorms
2021-04-30 02:10:30,Singapore,26,Mostly Cloudy
2021-04-29 20:10:31,Singapore,28,Thunderstorms
2021-04-29 14:10:31,Singapore,29,Thunderstorms
2021-04-29 08:10:30,Singapore,27,Cloudy
2021-04-29 02:10:30,Singapore,27,Mostly Cloudy
2021-04-28 20:10:30,Singapore,28,Thunderstorms
2021-04-28 14:10:31,Singapore,28,Thunderstorms
2021-04-28 08:10:30,Singapore,26,Cloudy
2021-04-28 02:10:31,Singapore,27,Mostly Cloudy
2021-04-27 20:10:30,Singapore,28,Thunderstorms
2021-04-27 14:10:30,Singapore,29,Thunderstorms
2021-04-27 08:10:30,Singapore,27,Partly Cloudy
2021-04-27 02:10:31,Singapore,27,Thunderstorms
2021-04-26 20:10:30,Singapore,28,Thunderstorms
2021-04-26 14:10:30,Singapore,28,Thunderstorms
2021-04-26 08:10:30,Singapore,27,Thunderstorms
2021-04-26 02:10:30,Singapore,28,Partly Cloudy
2021-04-25 20:10:30,Singapore,29,Mostly Sunny
2021-04-25 14:10:31,Singapore,29,Partly Cloudy
2021-04-25 08:10:30,Singapore,27,Mostly Cloudy
2021-04-25 02:10:30,Singapore,27,Cloudy
2021-04-24 20:10:31,Singapore,27,Cloudy
2021-04-24 14:10:30,Singapore,28,Scattered Thunderstorms
2021-04-24 08:10:31,Singapore,27,Thunderstorms
2021-04-24 02:10:31,Singapore,27,Mostly Cloudy
2021-04-23 20:10:30,Singapore,28,Mostly Cloudy
2021-04-23 14:10:30,Singapore,28,Thunderstorms
2021-04-23 08:10:31,Singapore,27,Cloudy
2021-04-23 02:10:31,Singapore,26,Thunderstorms
2021-04-22 20:10:30,Singapore,27,Thunderstorms
2021-04-22 14:10:30,Singapore,28,Thunderstorms
2021-04-22 08:10:30,Singapore,26,Thunderstorms
2021-04-22 02:10:30,Singapore,27,Thunderstorms
2021-04-21 20:10:30,Singapore,28,Thunderstorms
2021-04-21 14:10:31,Singapore,29,Thunderstorms
2021-04-21 08:10:31,Singapore,27,Partly Cloudy
2021-04-21 02:10:30,Singapore,27,Partly Cloudy
2021-04-20 20:10:30,Singapore,29,Thunderstorms
2021-04-20 14:10:31,Singapore,29,Thunderstorms
2021-04-20 08:10:30,Singapore,26,Partly Cloudy
2021-04-20 02:10:30,Singapore,27,Mostly Cloudy
2021-04-19 20:10:31,Singapore,28,Partly Cloudy
2021-04-19 14:10:30,Singapore,28,Thunderstorms
2021-04-19 08:10:30,Singapore,26,Partly Cloudy
2021-04-19 02:10:30,Singapore,26,Mostly Clear
2021-04-18 20:10:30,Singapore,28,Thunderstorms
2021-04-18 14:10:30,Singapore,29,Thunderstorms
2021-04-18 08:10:31,Singapore,26,Cloudy
2021-04-18 02:10:30,Singapore,27,Cloudy
2021-04-17 20:10:30,Singapore,27,Thunderstorms
2021-04-17 14:10:31,Singapore,28,Thunderstorms
2021-04-17 08:10:36,Singapore,26,Thunderstorms
2021-04-17 02:10:30,Singapore,27,Cloudy
2021-04-16 20:10:31,Singapore,28,Cloudy
2021-04-16 14:10:30,Singapore,28,Thunderstorms
2021-04-16 08:10:31,Singapore,26,Thunderstorms
2021-04-16 02:10:30,Singapore,27,Cloudy
2021-04-15 20:10:30,Singapore,27,Thunderstorms
2021-04-15 14:10:31,Singapore,29,Thunderstorms
2021-04-15 08:10:31,Singapore,26,Mostly Cloudy
2021-04-15 02:10:30,Singapore,27,Partly Cloudy
2021-04-14 20:10:30,Singapore,28,Thunderstorms
2021-04-14 14:10:30,Singapore,29,Thunderstorms
2021-04-14 08:10:30,Singapore,27,Mostly Cloudy
2021-04-14 02:10:31,Singapore,27,Cloudy
